기준일ID,시간대구분,자치구코드
20210101,0,11110
20210101,0,11140
20210101,0,11170
20210101,0,11200
20210101,0,11215
20210101,0,11230
20210101,0,11260
20210101,0,11290
20210101,0,11305
20210101,0,11320
20210101,0,11350
20210101,0,11380
20210101,0,11410
20210101,0,11440
20210101,0,11470
20210101,0,11500
20210101,0,11530
20210101,0,11545
20210101,0,11560
20210101,0,11590
20210101,0,11620
20210101,0,11650
20210101,0,11680
20210101,0,11710
20210101,0,11740
20210101,1,11110
20210101,1,11140
20210101,1,11170
20210101,1,11200
20210101,1,11215
20210101,1,11230
20210101,1,11260
20210101,1,11290
20210101,1,11305
20210101,1,11320
20210101,1,11350
20210101,1,11380
20210101,1,11410
20210101,1,11440
20210101,1,11470
20210101,1,11500
20210101,1,11530
20210101,1,11545
20210101,1,11560
20210101,1,11590
20210101,1,11620
20210101,1,11650
20210101,1,11680
20210101,1,11710
20210101,1,11740
20210101,2,11110
20210101,2,11140
20210101,2,11170
20210101,2,11200
20210101,2,11215
20210101,2,11230
20210101,2,11260
20210101,2,11290
20210101,2,11305
20210101,2,11320
20210101,2,11350
20210101,2,11380
20210101,2,11410
20210101,2,11440
20210101,2,11470
20210101,2,11500
20210101,2,11530
20210101,2,11545
20210101,2,11560
20210101,2,11590
20210101,2,11620
20210101,2,11650
20210101,2,11680
20210101,2,11710
20210101,2,11740
20210101,3,11110
20210101,3,11140
20210101,3,11170
20210101,3,11200
20210101,3,11215
20210101,3,11230
20210101,3,11260
20210101,3,11290
20210101,3,11305
20210101,3,11320
20210101,3,11350
20210101,3,11380
20210101,3,11410
20210101,3,11440
20210101,3,11470
20210101,3,11500
20210101,3,11530
20210101,3,11545
20210101,3,11560
20210101,3,11590
20210101,3,11620
20210101,3,11650
20210101,3,11680
20210101,3,11710
20210101,3,11740
20210101,4,11110
20210101,4,11140
20210101,4,11170
20210101,4,11200
20210101,4,11215
20210101,4,11230
20210101,4,11260
20210101,4,11290
20210101,4,11305
20210101,4,11320
20210101,4,11350
20210101,4,11380
20210101,4,11410
20210101,4,11440
20210101,4,11470
20210101,4,11500
20210101,4,11530
20210101,4,11545
20210101,4,11560
20210101,4,11590
20210101,4,11620
20210101,4,11650
20210101,4,11680
20210101,4,11710
20210101,4,11740
20210101,5,11110
20210101,5,11140
20210101,5,11170
20210101,5,11200
20210101,5,11215
20210101,5,11230
20210101,5,11260
20210101,5,11290
20210101,5,11305
20210101,5,11320
20210101,5,11350
20210101,5,11380
20210101,5,11410
20210101,5,11440
20210101,5,11470
20210101,5,11500
20210101,5,11530
20210101,5,11545
20210101,5,11560
20210101,5,11590
20210101,5,11620
20210101,5,11650
20210101,5,11680
20210101,5,11710
20210101,5,11740
20210101,6,11110
20210101,6,11140
20210101,6,11170
20210101,6,11200
20210101,6,11215
20210101,6,11230
20210101,6,11260
20210101,6,11290
20210101,6,11305
20210101,6,11320
20210101,6,11350
20210101,6,11380
20210101,6,11410
20210101,6,11440
20210101,6,11470
20210101,6,11500
20210101,6,11530
20210101,6,11545
20210101,6,11560
20210101,6,11590
20210101,6,11620
20210101,6,11650
20210101,6,11680
20210101,6,11710
20210101,6,11740
20210101,7,11110
20210101,7,11140
20210101,7,11170
20210101,7,11200
20210101,7,11215
20210101,7,11230
20210101,7,11260
20210101,7,11290
20210101,7,11305
20210101,7,11320
20210101,7,11350
20210101,7,11380
20210101,7,11410
20210101,7,11440
20210101,7,11470
20210101,7,11500
20210101,7,11530
20210101,7,11545
20210101,7,11560
20210101,7,11590
20210101,7,11620
20210101,7,11650
20210101,7,11680
20210101,7,11710
20210101,7,11740
20210101,8,11110
20210101,8,11140
20210101,8,11170
20210101,8,11200
20210101,8,11215
20210101,8,11230
20210101,8,11260
20210101,8,11290
20210101,8,11305
20210101,8,11320
20210101,8,11350
20210101,8,11380
20210101,8,11410
20210101,8,11440
20210101,8,11470
20210101,8,11500
20210101,8,11530
20210101,8,11545
20210101,8,11560
20210101,8,11590
20210101,8,11620
20210101,8,11650
20210101,8,11680
20210101,8,11710
20210101,8,11740
20210101,9,11110
20210101,9,11140
20210101,9,11170
20210101,9,11200
20210101,9,11215
20210101,9,11230
20210101,9,11260
20210101,9,11290
20210101,9,11305
20210101,9,11320
20210101,9,11350
20210101,9,11380
20210101,9,11410
20210101,9,11440
20210101,9,11470
20210101,9,11500
